,"Last updated: Sep 5th, 2025 by Nila",,GENERAL INFORMATION,,,,,,,,,DEFENSIVE STATS - SUMMARY,,,,,,,,DEFENSIVE STATS - BREAKDOWN & DETAIL,,,,,,,,,DEFENSIVE STATS - RAW NUMBER,,,,,OFFENSIVE STATS - SUMMARY,,,,,,,,,,,OFFENSIVE STATS - BREAKDOWN & DETAIL,,,,,,,,,OFFENSIVE STATS - RAW NUMBER,,,,,MISCELLANEOUS,
10049,25,Male Thief Bug,60,100,37,Shadow,Insect,Medium,"P.DEF +30
P.DMG RED +30",Shoes,,"2,224",5.80%,7.50%,0.00%,0.00%,1.60%,1.60%,,5.800%,0.000%,7.500%,0.000%,1.600%,0.000%,1.600%,0.000%,,33,50,8,8,,66,110,0,6,5.00%,3.40%,0.00%,0.00%,1.60%,1.60%,,5.000%,0.000%,3.400%,0.000%,1.600%,0.000%,1.600%,0.000%,,25,17,8,8,,Capital Sewer 2F,Normal
10045,26,Spore,62,103,37,Water,Plant,Medium,P.PEN +60,Accessory,,"2,509",7.90%,6.10%,0.00%,0.00%,1.80%,1.80%,,7.900%,0.000%,6.100%,0.000%,1.800%,0.000%,1.800%,0.000%,,54,36,9,9,,233,140,6,0,3.60%,5.20%,0.00%,0.00%,1.80%,1.80%,,3.600%,0.000%,5.200%,0.000%,1.800%,0.000%,1.800%,0.000%,,18,27,9,9,,Payon South,Normal
10054,27,Creamy,63,21,18,Wind,Insect,Small,P.DMG Bonus +60,Accessory,,"1,406",7.40%,7.40%,0.00%,0.00%,2.00%,2.00%,,7.400%,0.000%,7.400%,0.000%,2.000%,0.000%,2.000%,0.000%,,49,49,10,10,,63,105,0,7,5.40%,4.00%,0.00%,0.00%,2.00%,2.00%,,5.400%,0.000%,4.000%,0.000%,2.000%,0.000%,2.000%,0.000%,,29,20,10,10,,Mjolnir Mountains,Normal
10063,28,Poison Spore,43,129,37,Poison,Plant,Medium,M.DMG bonus +60,Accessory,,"3,132",6.70%,8.80%,0.00%,0.00%,2.00%,2.00%,,6.700%,0.000%,8.800%,0.000%,2.000%,0.000%,2.000%,0.000%,,42,63,10,10,,255,153,8,0,4.20%,5.60%,0.00%,0.00%,2.00%,2.00%,,4.200%,0.000%,5.600%,0.000%,2.000%,0.000%,2.000%,0.000%,,21,31,10,10,,Capital Sewer 2F,Normal
10056,29,Steel Chonchon,55,33,18,Wind,Insect,Small,M.DEF +60,Clothes,,"1,736",7.00%,9.20%,0.00%,0.00%,2.20%,2.20%,,7.000%,0.000%,9.200%,0.000%,2.200%,0.000%,2.200%,0.000%,,45,67,11,11,,73,121,0,8,5.90%,4.40%,0.00%,0.00%,2.20%,2.20%,,5.900%,0.000%,4.400%,0.000%,2.200%,0.000%,2.200%,0.000%,,34,22,11,11,,Labyrinth Forest,Normal
10084,30,Drainliar,34,56,24,Shadow,Brute,Small,P.ATK +60,Weapon,,"2,021",10.00%,7.50%,0.00%,0.00%,2.60%,2.60%,,10.000%,0.000%,7.500%,0.000%,2.600%,0.000%,2.600%,0.000%,,75,50,13,13,,100,166,0,10,6.30%,5.00%,0.00%,0.00%,2.60%,2.60%,,6.300%,0.000%,5.000%,0.000%,2.600%,0.000%,2.600%,0.000%,,38,25,13,13,,Capital Sewer 2F,Normal
10055,31,Stainer,46,46,24,Wind,Insect,Small,P.ATK +120,Headgear,,"3,264",5.80%,5.80%,0.00%,0.00%,7.10%,7.10%,,5.800%,0.000%,5.800%,0.000%,7.100%,0.000%,7.100%,0.000%,,33,33,46,46,,234,140,10,0,5.10%,6.40%,0.00%,0.00%,2.60%,2.60%,,5.100%,0.000%,6.400%,0.000%,2.600%,0.000%,2.600%,0.000%,,26,39,13,13,,Mjolnir Mountains,Normal
10057,31,Coco,46,46,24,Earth,Brute,Small,M.ATK +120,Headgear,,"3,264",7.70%,10.20%,0.00%,0.00%,2.60%,2.60%,,7.700%,0.000%,10.200%,0.000%,2.600%,0.000%,2.600%,0.000%,,52,78,13,13,,258,155,10,0,5.10%,6.40%,0.00%,0.00%,2.60%,2.60%,,5.100%,0.000%,6.400%,0.000%,2.600%,0.000%,2.600%,0.000%,,26,39,13,13,,Labyrinth Forest,Normal
10030,32,Dustiness,35,59,24,Wind,Insect,Small,Max HP +4800,Cloak,,"3,586",9.40%,9.40%,0.00%,0.00%,2.80%,2.80%,,9.400%,0.000%,9.400%,0.000%,2.800%,0.000%,2.800%,0.000%,,69,69,14,14,,91,151,0,11,6.60%,5.30%,0.00%,0.00%,2.80%,2.80%,,6.600%,0.000%,5.300%,0.000%,2.800%,0.000%,2.800%,0.000%,,41,28,14,14,,Mjolnir Mountains,Normal
10058,32,Smokie,71,24,24,Earth,Brute,Small,ASPD +120,Accessory,,"3,586",5.90%,5.90%,0.00%,0.00%,7.30%,7.30%,,5.900%,0.000%,5.900%,0.000%,7.300%,0.000%,7.300%,0.000%,,34,34,48,48,,143,238,11,0,5.30%,6.60%,0.00%,0.00%,2.80%,2.80%,,5.300%,0.000%,6.600%,0.000%,2.800%,0.000%,2.800%,0.000%,,28,41,14,14,,Labyrinth Forest,Normal
10008,33,Roda Frog,48,144,48,Water,Fish,Medium,P.DEF +120,Clothes,,"7,898",8.40%,10.87%,0.00%,0.00%,3.00%,3.00%,,8.400%,0.000%,10.867%,0.000%,3.000%,0.000%,3.000%,0.000%,,59,88,15,15,,500,300,12,0,5.40%,6.90%,0.00%,0.00%,3.00%,3.00%,,5.400%,0.000%,6.900%,0.000%,3.000%,0.000%,3.000%,0.000%,,29,44,15,15,,Shipwreck,Normal
10149,33,Vocal,144,48,48,Earth,Insect,Medium,Max HP +4800,Clothes,,"7,898",8.40%,10.87%,0.00%,0.00%,3.00%,3.00%,,8.400%,0.000%,10.867%,0.000%,3.000%,0.000%,3.000%,0.000%,,59,88,15,15,,267,160,12,0,5.40%,6.90%,0.00%,0.00%,3.00%,3.00%,,5.400%,0.000%,6.900%,0.000%,3.000%,0.000%,3.000%,0.000%,,29,44,15,15,,Labyrinth Forest,Normal
10059,34,Caramel,25,74,24,Earth,Insect,Small,"M.ATK +60
M.PEN +60",Weapon,,"4,310",10.13%,10.13%,0.00%,0.00%,3.00%,3.00%,,10.133%,0.000%,10.133%,0.000%,3.000%,0.000%,3.000%,0.000%,,77,77,15,15,,172,286,0,13,7.10%,5.60%,0.00%,0.00%,3.00%,3.00%,,7.100%,0.000%,5.600%,0.000%,3.000%,0.000%,3.000%,0.000%,,46,31,15,15,,Mjolnir Mountains,Normal
10147,34,Dead Plankton,49,49,24,Undead,Undead,Small,P.PEN +120,Headgear,,"4,310",6.40%,6.40%,0.00%,0.00%,7.90%,7.90%,,6.400%,0.000%,6.400%,0.000%,7.900%,0.000%,7.900%,0.000%,,39,39,54,54,,237,395,13,0,5.60%,7.10%,0.00%,0.00%,3.00%,3.00%,,5.600%,0.000%,7.100%,0.000%,3.000%,0.000%,3.000%,0.000%,,31,46,15,15,,Shipwreck,Normal
10065,35,Kukre,50,50,24,Water,Insect,Small,Haste +120,Accessory,,"4,719",10.47%,10.47%,0.00%,0.00%,3.20%,3.20%,,10.467%,0.000%,10.467%,0.000%,3.200%,0.000%,3.200%,0.000%,,82,82,16,16,,207,346,0,15,7.40%,5.80%,0.00%,0.00%,3.20%,3.20%,,7.400%,0.000%,5.800%,0.000%,3.200%,0.000%,3.200%,0.000%,,49,33,16,16,,Treasure Ship,Normal
10088,35,Zombie,125,75,48,Undead,Undead,Medium,Max HP +4800,Shoes,,"9,438",11.53%,9.00%,0.00%,0.00%,3.20%,3.20%,,11.533%,0.000%,9.000%,0.000%,3.200%,0.000%,3.200%,0.000%,,98,65,16,16,,456,760,0,15,7.40%,5.80%,0.00%,0.00%,3.20%,3.20%,,7.400%,0.000%,5.800%,0.000%,3.200%,0.000%,3.200%,0.000%,,49,33,16,16,,Shipwreck,Normal
10031,36,Horn,128,77,48,Earth,Insect,Medium,ASPD +120,Weapon,,"10,270",10.73%,10.73%,0.00%,0.00%,3.40%,3.40%,,10.733%,0.000%,10.733%,0.000%,3.400%,0.000%,3.400%,0.000%,,86,86,17,17,,289,481,0,16,7.70%,5.90%,0.00%,0.00%,3.40%,3.40%,,7.700%,0.000%,5.900%,0.000%,3.400%,0.000%,3.400%,0.000%,,52,34,17,17,,Labyrinth Forest,Normal
10066,36,Hydra,64,38,24,Water,Plant,Small,M.ATK +120,Weapon,,"5,135",11.87%,9.40%,0.00%,0.00%,3.40%,3.40%,,11.867%,0.000%,9.400%,0.000%,3.400%,0.000%,3.400%,0.000%,,103,69,17,17,,168,101,0,16,7.70%,5.90%,0.00%,0.00%,3.40%,3.40%,,7.700%,0.000%,5.900%,0.000%,3.400%,0.000%,3.400%,0.000%,,52,34,17,17,,Treasure Ship,Normal
10060,37,Yoyo,78,26,24,Earth,Brute,Small,P.PEN +120,Accessory,,"5,612",12.27%,9.80%,0.00%,0.00%,3.60%,3.60%,,12.267%,0.000%,9.800%,0.000%,3.600%,0.000%,3.600%,0.000%,,109,73,18,18,,143,239,0,17,7.90%,6.10%,0.00%,0.00%,3.60%,3.60%,,7.900%,0.000%,6.100%,0.000%,3.600%,0.000%,3.600%,0.000%,,54,36,18,18,,Labyrinth Forest,Normal
10093,37,Martin,26,78,24,Earth,Brute,Small,M.PEN +120,Headgear,,"5,612",7.00%,7.00%,0.00%,0.00%,8.90%,8.90%,,7.000%,0.000%,7.000%,0.000%,8.900%,0.000%,8.900%,0.000%,,45,45,64,64,,337,202,17,0,6.10%,7.90%,0.00%,0.00%,3.60%,3.60%,,6.100%,0.000%,7.900%,0.000%,3.600%,0.000%,3.600%,0.000%,,36,54,18,18,,Mjolnir Dead Pit 1F,Normal
10085,38,Giearth,53,53,24,Earth,Demon,Small,P.DMG Bonus +240,Headgear,,"6,077",7.30%,7.30%,0.00%,0.00%,9.20%,9.20%,,7.300%,0.000%,7.300%,0.000%,9.200%,0.000%,9.200%,0.000%,,48,48,67,67,,272,453,18,0,6.30%,8.20%,0.00%,0.00%,3.80%,3.80%,,6.300%,0.000%,8.200%,0.000%,3.800%,0.000%,3.800%,0.000%,,38,57,19,19,,Mjolnir Dead Pit 1F,Normal
10087,38,Axe-wielding Skel Pirate,106,106,48,Undead,Undead,Medium,"P.DEF +60
P.DMG RED +120",Shoes,,"12,155",10.07%,12.60%,0.00%,0.00%,3.80%,3.80%,,10.067%,0.000%,12.600%,0.000%,3.800%,0.000%,3.800%,0.000%,,76,114,19,19,,491,818,18,0,6.30%,8.20%,0.00%,0.00%,3.80%,3.80%,,6.300%,0.000%,8.200%,0.000%,3.800%,0.000%,3.800%,0.000%,,38,57,19,19,,Shipwreck,Normal
10061,39,Pirate Skeleton,108,108,48,Undead,Undead,Medium,M.PEN +120,Accessory,,"13,228",13.00%,10.33%,0.00%,0.00%,4.00%,4.00%,,13.000%,0.000%,10.333%,0.000%,4.000%,0.000%,4.000%,0.000%,,120,80,20,20,,694,416,0,20,8.50%,6.50%,0.00%,0.00%,4.00%,4.00%,,8.500%,0.000%,6.500%,0.000%,4.000%,0.000%,4.000%,0.000%,,60,40,20,20,,Treasure Ship,Normal
10148,39,Dagger-wielding Skel Pirate,162,54,48,Undead,Undead,Medium,Haste +120,Weapon,,"13,228",11.67%,11.67%,0.00%,0.00%,4.00%,4.00%,,11.667%,0.000%,11.667%,0.000%,4.000%,0.000%,4.000%,0.000%,,100,100,20,20,,542,904,0,20,8.50%,6.50%,0.00%,0.00%,4.00%,4.00%,,8.500%,0.000%,6.500%,0.000%,4.000%,0.000%,4.000%,0.000%,,60,40,20,20,,Shipwreck,Normal
10094,40,Skeleton Worker,110,110,59,Undead,Undead,Medium,Crit +120,Weapon,,"14,268",7.70%,7.70%,0.00%,0.00%,9.80%,9.80%,,7.700%,0.000%,7.700%,0.000%,9.800%,0.000%,9.800%,0.000%,,52,52,73,73,,"1,028",617,21,0,6.70%,8.80%,0.00%,0.00%,4.20%,4.20%,,6.700%,0.000%,8.800%,0.000%,4.200%,0.000%,4.200%,0.000%,,42,63,21,21,,Mjolnir Dead Pit 1F,Normal
10125,40,Hunter Fly,69,41,30,Wind,Insect,Small,"P.ATK +60
P.DMG Bonus +120",Weapon,,"7,134",10.60%,13.33%,0.00%,0.00%,4.20%,4.20%,,10.600%,0.000%,13.333%,0.000%,4.200%,0.000%,4.200%,0.000%,,84,125,21,21,,193,116,21,0,6.70%,8.80%,0.00%,0.00%,4.20%,4.20%,,6.700%,0.000%,8.800%,0.000%,4.200%,0.000%,4.200%,0.000%,,42,63,21,21,,Labyrinth Forest,Normal
10064,41,Whisper,43,71,30,Ghost,Demon,Small,M.DMG RED +120,Cloak,,"11,659",8.70%,8.70%,0.00%,0.00%,10.80%,10.80%,,8.700%,0.000%,8.700%,0.000%,10.800%,0.000%,10.800%,0.000%,,62,62,87,87,,405,675,26,0,7.50%,9.90%,0.00%,0.00%,5.00%,5.00%,,7.500%,0.000%,9.900%,0.000%,5.000%,0.000%,5.000%,0.000%,,50,74,25,25,,Treasure Ship,Normal
10095,41,Myst,214,128,89,Poison,Formless,Large,P.DMG RED +240,Cloak,,"34,977",11.60%,14.93%,0.00%,0.00%,5.00%,5.00%,,11.600%,0.000%,14.933%,0.000%,5.000%,0.000%,5.000%,0.000%,,99,149,25,25,,"1,633",980,26,0,7.50%,9.90%,0.00%,0.00%,5.00%,5.00%,,7.500%,0.000%,9.900%,0.000%,5.000%,0.000%,5.000%,0.000%,,50,74,25,25,,Mjolnir Dead Pit 1F,Normal
10018,42,Muka,221,133,89,Earth,Plant,Large,P.DMG Bonus +240,Accessory,,"39,661",12.27%,15.65%,0.00%,0.00%,5.20%,5.20%,,12.267%,0.000%,15.650%,0.000%,5.200%,0.000%,5.200%,0.000%,,109,163,27,27,,"1,369","2,281",29,0,7.90%,10.47%,0.00%,0.00%,5.20%,5.20%,,7.900%,0.000%,10.467%,0.000%,5.200%,0.000%,5.200%,0.000%,,54,82,27,27,,Morroc,Normal
10105,42,Argos,133,221,89,Poison,Insect,Large,"P.ATK +60
P.PEN +60",Weapon,,"39,661",15.65%,12.27%,0.00%,0.00%,5.20%,5.20%,,15.650%,0.000%,12.267%,0.000%,5.200%,0.000%,5.200%,0.000%,,163,109,27,27,,"1,026","1,711",0,29,10.47%,7.90%,0.00%,0.00%,5.20%,5.20%,,10.467%,0.000%,7.900%,0.000%,5.200%,0.000%,5.200%,0.000%,,82,54,27,27,,Mjolnir Mountains,Normal
10017,43,Pecopeco,275,92,89,Fire,Brute,Large,"M.DEF +60
M.DMG RED +60",Shoes,,"44,701",16.40%,12.93%,0.00%,0.00%,5.50%,5.50%,,16.400%,0.000%,12.933%,0.000%,5.500%,0.000%,5.500%,0.000%,,178,119,30,30,,"2,032","1,219",0,33,10.93%,8.40%,0.00%,0.00%,5.50%,5.50%,,10.933%,0.000%,8.400%,0.000%,5.500%,0.000%,5.500%,0.000%,,89,59,30,30,,Morroc,Normal
10106,43,Mantis,122,122,59,Earth,Insect,Medium,M.DMG Bonus +240,Accessory,,"29,801",14.93%,14.93%,0.00%,0.00%,5.50%,5.50%,,14.933%,0.000%,14.933%,0.000%,5.500%,0.000%,5.500%,0.000%,,149,149,30,30,,996,598,0,33,10.93%,8.40%,0.00%,0.00%,5.50%,5.50%,,10.933%,0.000%,8.400%,0.000%,5.500%,0.000%,5.500%,0.000%,,89,59,30,30,,Labyrinth Forest,Normal
10019,44,Metaller,158,95,59,Fire,Insect,Medium,P.ATK +120,Weapon,,"33,342",10.40%,10.40%,0.00%,0.00%,12.53%,12.53%,,10.400%,0.000%,10.400%,0.000%,12.533%,0.000%,12.533%,0.000%,,81,81,113,113,,"1,237",742,36,0,8.90%,11.47%,0.00%,0.00%,5.70%,5.70%,,8.900%,0.000%,11.467%,0.000%,5.700%,0.000%,5.700%,0.000%,,64,97,32,32,,Morroc,Normal
10039,44,Savage,142,236,89,Earth,Brute,Large,M.DEF +120,Clothes,,"50,014",13.60%,17.15%,0.00%,0.00%,5.70%,5.70%,,13.600%,0.000%,17.150%,0.000%,5.700%,0.000%,5.700%,0.000%,,129,193,32,32,,"2,836","1,702",36,0,8.90%,11.47%,0.00%,0.00%,5.70%,5.70%,,8.900%,0.000%,11.467%,0.000%,5.700%,0.000%,5.700%,0.000%,,64,97,32,32,,Labyrinth Forest,Normal
10020,45,Anacondaq,65,195,59,Poison,Brute,Medium,M.DMG Bonus +240,Headgear,,"38,384",16.50%,16.50%,0.00%,0.00%,6.10%,6.10%,,16.500%,0.000%,16.500%,0.000%,6.100%,0.000%,6.100%,0.000%,,180,180,36,36,,784,"1,307",0,41,12.20%,9.70%,0.00%,0.00%,6.10%,6.10%,,12.200%,0.000%,9.700%,0.000%,6.100%,0.000%,6.100%,0.000%,,108,72,36,36,,Morroc,Normal
10107,45,Flora,195,195,89,Earth,Plant,Large,"M.ATK +60
M.DMG Bonus +120",Weapon,,"57,577",18.30%,14.60%,0.00%,0.00%,6.10%,6.10%,,18.300%,0.000%,14.600%,0.000%,6.100%,0.000%,6.100%,0.000%,,216,144,36,36,,"2,366","1,420",0,41,12.20%,9.70%,0.00%,0.00%,6.10%,6.10%,,12.200%,0.000%,9.700%,0.000%,6.100%,0.000%,6.100%,0.000%,,108,72,36,36,,Mjolnir Mountains,Normal
10021,46,Scorpion,67,67,30,Fire,Insect,Small,Final ASPD +30%,Weapon,,"20,910",11.33%,11.33%,0.00%,0.00%,13.87%,13.87%,,11.333%,0.000%,11.333%,0.000%,13.867%,0.000%,13.867%,0.000%,,95,95,133,133,,559,931,45,0,10.07%,12.60%,0.00%,0.00%,6.30%,6.30%,,10.067%,0.000%,12.600%,0.000%,6.300%,0.000%,6.300%,0.000%,,76,114,38,38,,Sograt Desert,Normal
10150,46,Sasquatch,201,201,89,Neutral,Brute,Large,Max HP +12%,Clothes,,"62,730",15.10%,18.90%,0.00%,0.00%,6.30%,6.30%,,15.100%,0.000%,18.900%,0.000%,6.300%,0.000%,6.300%,0.000%,,152,228,38,38,,"2,256","1,353",45,0,10.07%,12.60%,0.00%,0.00%,6.30%,6.30%,,10.067%,0.000%,12.600%,0.000%,6.300%,0.000%,6.300%,0.000%,,76,114,38,38,,Labyrinth Forest,Normal
10022,47,Golem,259,155,89,Neutral,Formless,Large,Final ASPD +30%,Accessory,,"69,206",17.65%,17.65%,0.00%,0.00%,6.60%,6.60%,,17.650%,0.000%,17.650%,0.000%,6.600%,0.000%,6.600%,0.000%,,203,203,41,41,,"1,895","3,158",0,49,13.13%,10.40%,0.00%,0.00%,6.60%,6.60%,,13.133%,0.000%,10.400%,0.000%,6.600%,0.000%,6.600%,0.000%,,122,81,41,41,,Sograt Desert,Normal
10033,47,Side Winder,138,138,59,Poison,Brute,Medium,Final Haste +3%,Weapon,,"46,137",17.65%,17.65%,0.00%,0.00%,6.60%,6.60%,,17.650%,0.000%,17.650%,0.000%,6.600%,0.000%,6.600%,0.000%,,203,203,41,41,,930,"1,550",0,49,13.13%,10.40%,0.00%,0.00%,6.60%,6.60%,,13.133%,0.000%,10.400%,0.000%,6.600%,0.000%,6.600%,0.000%,,122,81,41,41,,Pyramid 1F,Normal
10040,48,Magnolia,89,53,30,Water,Demon,Small,Final Crit +6%,Weapon,,"25,476",20.48%,16.20%,0.00%,0.00%,6.90%,6.90%,,20.480%,0.000%,16.200%,0.000%,6.900%,0.000%,6.900%,0.000%,,262,174,44,44,,"1,119",671,0,54,13.73%,10.80%,0.00%,0.00%,6.90%,6.90%,,13.733%,0.000%,10.800%,0.000%,6.900%,0.000%,6.900%,0.000%,,131,87,44,44,,Sograt Desert,Normal
10143,48,Ant Larva,71,71,30,Neutral,Insect,Small,P.ATK +6%,Headgear,,"25,476",12.27%,12.27%,0.00%,0.00%,15.15%,15.15%,,12.267%,0.000%,12.267%,0.000%,15.150%,0.000%,15.150%,0.000%,,109,109,153,153,,0,0,54,0,10.80%,13.73%,0.00%,0.00%,6.90%,6.90%,,10.800%,0.000%,13.733%,0.000%,6.900%,0.000%,6.900%,0.000%,,87,131,44,44,,Ant Cavern,Normal
10023,49,Hode,146,146,59,Earth,Insect,Medium,Max HP +12%,Cloak,,"56,162",19.15%,19.15%,0.00%,0.00%,7.20%,7.20%,,19.150%,0.000%,19.150%,0.000%,7.200%,0.000%,7.200%,0.000%,,233,233,47,47,,"1,046","1,743",0,59,14.33%,11.20%,0.00%,0.00%,7.20%,7.20%,,14.333%,0.000%,11.200%,0.000%,7.200%,0.000%,7.200%,0.000%,,140,93,47,47,,Sograt Desert,Normal
10099,49,Matyr,146,146,59,Shadow,Brute,Medium,Max HP +12%,Shoes,,"56,162",16.85%,21.20%,0.00%,0.00%,7.20%,7.20%,,16.850%,0.000%,21.200%,0.000%,7.200%,0.000%,7.200%,0.000%,,187,280,47,47,,506,304,59,0,11.20%,14.33%,0.00%,0.00%,7.20%,7.20%,,11.200%,0.000%,14.333%,0.000%,7.200%,0.000%,7.200%,0.000%,,93,140,47,47,,Pyramid 1F,Normal
10024,50,Desert Wolf,113,188,72,Fire,Brute,Medium,"M.ATK +3%
Final M.DMG Bonus +3%",Weapon,,"61,667",21.92%,17.45%,0.00%,0.00%,7.50%,7.50%,,21.920%,0.000%,17.450%,0.000%,7.500%,0.000%,7.500%,0.000%,,298,199,50,50,,"1,439",863,0,64,14.93%,11.60%,0.00%,0.00%,7.50%,7.50%,,14.933%,0.000%,11.600%,0.000%,7.500%,0.000%,7.500%,0.000%,,149,99,50,50,,Sograt Desert,Normal
10080,50,Andre,75,75,36,Earth,Insect,Small,"P.ATK +3%
Final P.PEN +3%",Weapon,,"30,833",19.95%,19.95%,0.00%,0.00%,7.50%,7.50%,,19.950%,0.000%,19.950%,0.000%,7.500%,0.000%,7.500%,0.000%,,249,249,50,50,,663,"1,105",0,64,14.93%,11.60%,0.00%,0.00%,7.50%,7.50%,,14.933%,0.000%,11.600%,0.000%,7.500%,0.000%,7.500%,0.000%,,149,99,50,50,,Ant Cavern,Normal
10081,51,Piere,77,77,36,Earth,Insect,Small,M.ATK +6%,Headgear,,"42,352",13.87%,13.87%,0.00%,0.00%,16.80%,16.80%,,13.867%,0.000%,13.867%,0.000%,16.800%,0.000%,16.800%,0.000%,,133,133,186,186,,"1,379",919,134,0,11.73%,15.10%,0.00%,0.00%,7.60%,7.60%,,11.733%,0.000%,15.100%,0.000%,7.600%,0.000%,7.600%,0.000%,,101,152,51,51,,Ant Cavern,Normal
10145,51,Soldier Skeleton,193,116,72,Undead,Undead,Medium,Final Haste +3%,Accessory,,"84,703",20.60%,20.60%,0.00%,0.00%,7.80%,7.80%,,20.600%,0.000%,20.600%,0.000%,7.800%,0.000%,7.800%,0.000%,,265,265,53,53,,"2,438","3,656",0,134,15.10%,11.73%,0.00%,0.00%,7.60%,7.60%,,15.100%,0.000%,11.733%,0.000%,7.600%,0.000%,7.600%,0.000%,,152,101,51,51,,Pyramid 1F,Normal
10068,52,Vadon,59,99,36,Water,Fish,Small,"P.ATK +3%
Final P.DMG Bonus +3%",Weapon,,"46,677",18.85%,23.64%,0.00%,0.00%,8.20%,8.20%,,18.850%,0.000%,23.640%,0.000%,8.200%,0.000%,8.200%,0.000%,,227,341,57,57,,"1,898","1,265",146,0,12.20%,15.60%,0.00%,0.00%,7.90%,7.90%,,12.200%,0.000%,15.600%,0.000%,7.900%,0.000%,7.900%,0.000%,,108,162,54,54,,Underwater Cave,Normal
10108,52,Argiope,237,237,108,Poison,Insect,Large,Final P.DEF +6%,Clothes,,"140,030",21.36%,21.36%,0.00%,0.00%,8.20%,8.20%,,21.360%,0.000%,21.360%,0.000%,8.200%,0.000%,8.200%,0.000%,,284,284,57,57,,"4,168","6,253",0,146,15.60%,12.20%,0.00%,0.00%,7.90%,7.90%,,15.600%,0.000%,12.200%,0.000%,7.900%,0.000%,7.900%,0.000%,,162,108,54,54,,Mjolnir Mountains,Normal
10069,53,Marina,61,101,36,Water,Plant,Small,P.ATK +6%,Weapon,,"51,206",15.10%,15.10%,0.00%,0.00%,18.10%,18.10%,,15.100%,0.000%,15.100%,0.000%,18.100%,0.000%,18.100%,0.000%,,152,152,212,212,,"2,882","1,921",158,0,12.60%,16.10%,0.00%,0.00%,8.20%,8.20%,,12.600%,0.000%,16.100%,0.000%,8.200%,0.000%,8.200%,0.000%,,114,172,57,57,,Underwater Cave,Normal
10098,53,Archer Skeleton,122,203,72,Undead,Undead,Medium,"M.ATK +3%
Final M.PEN +3%",Weapon,,"102,412",19.60%,24.56%,0.00%,0.00%,8.60%,8.60%,,19.600%,0.000%,24.560%,0.000%,8.600%,0.000%,8.600%,0.000%,,242,364,61,61,,"5,423","3,615",158,0,12.60%,16.10%,0.00%,0.00%,8.20%,8.20%,,12.600%,0.000%,16.100%,0.000%,8.200%,0.000%,8.200%,0.000%,,114,172,57,57,,Pyramid 1F,Normal
10025,54,Frilldora,166,166,72,Fire,Brute,Medium,Final P.DMG RED +6%,Cloak,,"112,026",25.40%,20.32%,0.00%,0.00%,8.90%,8.90%,,25.400%,0.000%,20.320%,0.000%,8.900%,0.000%,8.900%,0.000%,,387,258,64,64,,"2,108","3,161",0,171,16.60%,13.07%,0.00%,0.00%,8.60%,8.60%,,16.600%,0.000%,13.067%,0.000%,8.600%,0.000%,8.600%,0.000%,,182,121,61,61,,Sograt Desert,Normal
10082,54,Deniro,83,83,36,Earth,Insect,Small,Final P.PEN +6%,Headgear,,"56,013",22.88%,22.88%,0.00%,0.00%,8.90%,8.90%,,22.880%,0.000%,22.880%,0.000%,8.900%,0.000%,8.900%,0.000%,,322,322,64,64,,"1,177","1,765",0,171,16.60%,13.07%,0.00%,0.00%,8.60%,8.60%,,16.600%,0.000%,13.067%,0.000%,8.600%,0.000%,8.600%,0.000%,,182,121,61,61,,Ant Cavern,Normal
10071,55,Cornutus,64,106,36,Water,Fish,Small,"Final P.DEF +3%
Final P.DMG RED +3%",Shoes,,"61,110",20.92%,26.17%,0.00%,0.00%,9.30%,9.30%,,20.920%,0.000%,26.167%,0.000%,9.300%,0.000%,9.300%,0.000%,,273,410,68,68,,"1,847","1,231",185,0,13.53%,17.10%,0.00%,0.00%,8.90%,8.90%,,13.533%,0.000%,17.100%,0.000%,8.900%,0.000%,8.900%,0.000%,,128,192,64,64,,Underwater Cave,Normal
10083,55,Vitata,43,128,36,Earth,Insect,Small,"Final P.PEN +6%
Can use Lv1 Heal. SP cost of all skills is increased by 25%
This effect doesnt stack",Accessory,,"61,110",26.17%,20.92%,0.00%,0.00%,9.30%,9.30%,,26.167%,0.000%,20.920%,0.000%,9.300%,0.000%,9.300%,0.000%,,410,273,68,68,,"2,616","1,744",0,185,17.10%,13.53%,0.00%,0.00%,8.90%,8.90%,,17.100%,0.000%,13.533%,0.000%,8.900%,0.000%,8.900%,0.000%,,192,128,64,64,,Ant Cavern,Normal
10072,56,Phen,131,218,72,Water,Fish,Medium,Final M.PEN +6%,Accessory,,"133,016",26.97%,21.56%,0.00%,0.00%,9.70%,9.70%,,26.967%,0.000%,21.560%,0.000%,9.700%,0.000%,9.700%,0.000%,,434,289,72,72,,"4,044","6,065",0,199,17.65%,14.00%,0.00%,0.00%,9.30%,9.30%,,17.650%,0.000%,14.000%,0.000%,9.300%,0.000%,9.300%,0.000%,,203,135,68,68,,Underwater Cave,Normal
10100,56,Mummy,261,87,72,Undead,Undead,Medium,Final M.PEN +6%,Headgear,,"133,016",16.55%,16.55%,0.00%,0.00%,20.12%,20.12%,,16.550%,0.000%,16.550%,0.000%,20.120%,0.000%,20.120%,0.000%,,181,181,253,253,,"4,227","2,818",199,0,14.00%,17.65%,0.00%,0.00%,9.30%,9.30%,,14.000%,0.000%,17.650%,0.000%,9.300%,0.000%,9.300%,0.000%,,135,203,68,68,,Pyramid 1F,Normal
